exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
alterdice,1,BTC,bitcoin,USDT,tether,100590.7700000000000000,100593.0254841872352538,39559181.0423212248412668,100.0000000000000000,7,1733987828977
bibox,1,ETH,ethereum,USDT,tether,3929.3100000000000000,3929.3981044709345137,29045121.3658064421441520,10.6738609142411637,,1733987821871
bibox,2,LINK,chainlink,USDT,tether,28.7020000000000000,28.7026435670702394,16528353.6356339656019968,6.0740440925078179,,1733985660442
bibox,3,ATOM,cosmos,USDT,tether,9.0792000000000000,9.0794035772470252,9966203.3608884299875774,3.6625038393676665,,1733985639075
bibox,4,XLM,stellar,USDT,tether,0.4281160000000000,0.4281255993784350,9731116.6152160153368829,3.5761112505922238,,1733927882151
bibox,5,AAVE,aave,USDT,tether,349.8500000000000000,349.8578444686615308,8963307.2109138760165641,3.2939471416201886,,1733984479195
bibox,6,FIL,filecoin,USDT,tether,6.4712000000000000,6.4713450996873017,8463230.3838688882231148,3.1101727159227586,,1733927838136
bibox,7,DAI,multi-collateral-dai,USDT,tether,1.0006000000000000,1.0006224358306209,8391962.5016051602962923,3.0839823119180747,,1733987415731
bibox,8,ICP,internet-computer,USDT,tether,13.5100000000000000,13.5103029263158990,8176397.2846423113044359,3.0047637362808445,,1733978415729
bibox,9,COMP,compound,USDT,tether,102.9100000000000000,102.9123074868370963,7851059.7468868881986142,2.8852046687029338,,1733961134845
bibox,10,ALGO,algorand,USDT,tether,0.4656000000000000,0.4656104398588218,7696375.4467799329166476,2.8283593663830019,,1733985649132
bibox,11,SUSHI,sushiswap,USDT,tether,2.1153000000000000,2.1153474300544797,6614995.4190324557312937,2.4309604412332759,,1733943355766
bibox,12,NEO,neo,USDT,tether,19.5100000000000000,19.5104374605790666,6091268.8559894867839975,2.2384949176567317,,1733987434627
bibox,13,BNB,binance-coin,USDT,tether,702.8400000000000000,702.8557593435874527,5681344.4081709867332035,2.0878508047864430,,1733940803481
bibox,14,LPT,livepeer,USDT,tether,16.6575210000000000,16.6578945012189890,5668082.6591180292748904,2.0829772130018522,,1733927880471
